segment,is_non_e_and_p,category,confidence,rationale
MINERAL CONSULTING,True,Mining/Other,0.9,Consulting on minerals is non-E&P service activity.
WELL OPERATION,False,Upstream,0.9,Well operation is an upstream E&P activity.
EQUIPMENT OPERATIONS,True,Oilfield Services,0.85,"Equipment operations is a service activity, not E&P."
"Natural Gas, NGLs and Oil",False,Unknown,0.7,"Generic hydrocarbons term, ambiguous but likely E&P."
LEASE BONUSES & RENTALS,True,Corporate/Other,0.9,"Lease bonuses and rentals are financial/corporate activities, not E&P."
REAL ESTATE SALES & LEASES,True,Real Estate,1.0,Real estate sales and leases are unrelated to E&P.
OIL & GAS PRODTN & REFINING,False,Unknown,0.8,"Mixes production (E&P) and refining (downstream), ambiguous defaults to false."
OIL & GAS-NORTH AMERICAN OPS,False,Unknown,0.7,"Geographic label with oil & gas, ambiguous but likely E&P."
OIL & GAS-AUSTRALIAN OPS,False,Unknown,0.7,"Geographic label with oil & gas, ambiguous but likely E&P."
Magellan Petroleum Corporation,False,Unknown,0.7,"Company name with petroleum, ambiguous but likely E&P."
Magellan Petroleum Australia Limited,False,Unknown,0.7,"Company name with petroleum, ambiguous but likely E&P."
Nautilus,False,Unknown,0.5,"Single word name with no clear indication, default false."
Magellan Petroleum Australia,False,Unknown,0.7,"Company name with petroleum, ambiguous but likely E&P."
Nautilus Poplar LLC,False,Unknown,0.5,"Company name with no clear indication, default false."
Magellan Petroleum (UK) Ltd,False,Unknown,0.7,"Company name with petroleum, ambiguous but likely E&P."
GAS GATHERING SYSTEM,True,Midstream,0.95,Gas gathering system is a midstream activity.
OIL & GAS/GAS GATHERING SYS,False,Unknown,0.8,"Mixes oil & gas (E&P) and gas gathering (midstream), ambiguous defaults to false."
MINERAL INTERESTS,True,Mining/Other,0.9,Mineral interests are non-E&P mining or financial interests.
TRADING,True,Trading/Marketing,0.95,Trading is a non-E&P marketing activity.
REFINED PRODUCTS & MERCHANDS,True,Downstream,0.95,Refined products and merchandise are downstream activities.
CRUDE OIL & NAT GAS LIQUIDS,False,Unknown,0.7,"Generic hydrocarbons term, ambiguous but likely E&P."
PETROLEUM REFINING,True,Downstream,1.0,Refining is a downstream activity.
"Refining, Marketing and Trans",True,Downstream,0.95,"Refining, marketing, and transportation are downstream/midstream activities."
Energy Related Businesses,False,Unknown,0.6,"Vague term that could include E&P, default false."
REFINING-MARKETING-TRANS,True,Downstream,0.95,"Refining, marketing, and transportation are downstream/midstream activities."
OTHER ENERGY RELATD BUSINESS,False,Unknown,0.6,"Vague term that could include E&P, default false."
Other Energy Related Businesses,False,Unknown,0.6,"Vague term that could include E&P, default false."
Integrated Gas,False,Unknown,0.7,"Could include upstream and midstream, ambiguous defaults to false."
Oil Sands Mining,True,Mining/Other,0.9,"Mining oil sands is a mining activity, not traditional E&P."
"Refining, Marketing & Trans",True,Downstream,0.95,"Refining, marketing, and transportation are downstream/midstream activities."
North America E&P,False,Upstream,1.0,"Explicitly E&P, clearly upstream."
International E&P,False,Upstream,1.0,"Explicitly E&P, clearly upstream."
United States E&P,False,Upstream,1.0,"Explicitly E&P, clearly upstream."
OIL & GAS EXPLOR-REFINING,False,Unknown,0.8,"Mixes exploration (E&P) and refining (downstream), ambiguous defaults to false."
OIL & CONDENSATE,False,Unknown,0.9,"The name refers to oil and condensate production, typical of upstream E&P activities."
CABLE TELEVISION,True,Mining/Other,1.0,Cable television is unrelated to oil & gas E&P and is a non-energy service sector.
Oil & Gas - Onshore,False,Unknown,0.95,Onshore oil & gas typically refers to upstream exploration and production.
MANUFACTURING,True,Mining/Other,1.0,Manufacturing is a non-E&P activity unrelated to exploration or production.
Canada,False,Unknown,0.8,"Geographic name only, ambiguous with no clear indication of non-E&P activity."
Exco(Excluding Appalachia),False,Unknown,0.7,Segment name is ambiguous and likely related to exploration and production.
Appalachia,False,Unknown,0.8,"Geographic region known for upstream activities, ambiguous but likely E&P."
Exco,False,Unknown,0.7,"Ambiguous name, no clear non-E&P indication."
North Coast,False,Unknown,0.8,"Geographic name only, ambiguous with no clear non-E&P activity."
Intercompany Eliminations,True,Corporate/Other,1.0,"Eliminations are corporate accounting adjustments, not operational E&P."
GAS GATHERING & TRANSMISSION,True,Midstream,1.0,"Gas gathering and transmission are midstream logistics activities, not upstream E&P."
OIL FIELD EQUIPMENT,True,Oilfield Services,1.0,"Equipment supply is an oilfield services activity, not E&P."
LAND DEVELOPMENT & SALES,True,Real Estate,1.0,Land development and sales are real estate activities unrelated to E&P.
OIL FIELD SUPPLY,True,Oilfield Services,1.0,"Supply of oilfield materials is an oilfield services activity, not E&P."
OTHER GAS TRANSMISSN & PROC,True,Midstream,1.0,"Gas transmission and processing are midstream activities, not upstream E&P."
OTHER EXPLORATION & PRODUCTN,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
GAS GATHERING & MARKETING,True,Midstream,1.0,"Gas gathering and marketing are midstream and trading activities, not E&P."
Natural Gas Processing,True,Midstream,1.0,"Gas processing is a midstream activity, not upstream E&P."
Natural Gas Gathering & Marketing,True,Midstream,1.0,"Gathering and marketing are midstream and trading activities, not E&P."
ONSHORE DRILLING,False,Unknown,0.8,Drilling is an oilfield service but often integrated with E&P; ambiguous but defaults to false.
CONTRACT DRILLING & REL PROD,True,Oilfield Services,1.0,"Contract drilling is an oilfield service activity, not E&P."
TIMBER & AGRICULTURE PRODUCT,True,Mining/Other,1.0,Timber and agriculture are non-E&P activities unrelated to oil & gas.
AGRICULTURE-TIMBER & LUMBER,True,Mining/Other,1.0,Agriculture and timber are unrelated to oil & gas E&P.
FARM & TIMBER,True,Mining/Other,1.0,Farming and timber are non-E&P activities unrelated to oil & gas.
REFINING-MARKETING-TRANSPORT,True,Downstream,1.0,"Refining, marketing, and transport are downstream activities, not E&P."
PETRO EXPLORATION-PRODUCTION,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
PETRO REFINING-MKTG-TRANSPRT,True,Downstream,1.0,"Refining, marketing, and transport are downstream activities, not E&P."
DIVING,True,Oilfield Services,1.0,"Diving is an oilfield service activity supporting offshore operations, not E&P itself."
FARM-TIMBER & REAL ESTATE,True,Real Estate,1.0,"Farming, timber, and real estate are non-E&P activities unrelated to oil & gas."
U.S. Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
Canada Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
U.K. Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
Ecuador Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
Other Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
"U.S. Refining, Mktg & Transportation",True,Downstream,1.0,"Refining, marketing, and transportation are downstream activities, not E&P."
"U.K. Refining, Mktg & Transportation",True,Downstream,1.0,"Refining, marketing, and transportation are downstream activities, not E&P."
"Canada Refining, Mktg & Transportation",True,Downstream,1.0,"Refining, marketing, and transportation are downstream activities, not E&P."
U.K. Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
Malaysia Exploration and production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
North America Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
US Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
UK Exploration & Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
UK Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
Malaysia E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
N America Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
Congo - E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
Congo-E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
US Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
US - E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
Canada - E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
Other - E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
UK - Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
Malaysia - E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
Republic of the Congo-E & P,False,Unknown,1.0,E&P clearly indicates upstream exploration and production.
US - Refining & Marketing,True,Downstream,1.0,"Refining and marketing are downstream activities, not E&P."
Adjustments&Unallocated,True,Corporate/Other,1.0,"Adjustments and unallocated amounts are corporate accounting items, not E&P."
ROTARY DRILLING,False,Unknown,0.8,Drilling is an oilfield service but often integrated with E&P; ambiguous but defaults to false.
TRUCKING,True,Oilfield Services,1.0,"Trucking is a service activity supporting operations, not E&P."
OIL & GAS - MINERAL EXPL,False,Unknown,0.85,Exploration is an upstream activity; mineral exploration may be ambiguous but defaults to false.
REAL ESTATE OPERATIONS,True,Real Estate,1.0,Real estate operations are unrelated to upstream E&P activities.
PETROLEUM PRODUCING,False,Unknown,1.0,Producing petroleum indicates upstream E&P activity.
PETROLEUM MARKETING,True,Trading/Marketing,1.0,"Marketing is a downstream/trading activity, not E&P."
REAL ESTATE AND OTHER,True,Real Estate,1.0,Real estate and other non-E&P activities are clearly non-upstream.
OCEAN TRANSPORTATION,True,Oilfield Services,1.0,"Ocean transportation is a logistics service, not E&P."
MINING TECHNOLOGY ROYALTIES,True,Mining/Other,1.0,"Mining technology royalties relate to mining other than oil & gas, non-E&P."
FINANCIAL SERVICES,True,Corporate/Other,1.0,Financial services are corporate activities unrelated to E&P.
TRUCKING SERVICES,True,Oilfield Services,1.0,Trucking services support operations but are not E&P.
Onshore and Offshore Exploration and Production,False,Unknown,1.0,Exploration and production clearly indicate upstream E&P activity.
Crude Oil & Natural Gas,False,Unknown,1.0,Crude oil and natural gas production is upstream E&P activity.
Oil & Gas  - United States,False,Unknown,0.9,Geographic label with oil & gas implies upstream E&P activity.
Oil & Gas  - Eastern Mediter,False,Unknown,0.9,Geographic label with oil & gas implies upstream E&P activity.
Oil & Gas  - West Africa,False,Unknown,0.9,Geographic label with oil & gas implies upstream E&P activity.
Oil&Gas -Other International,False,Unknown,0.9,Geographic label with oil & gas implies upstream E&P activity.
Midstream - United States,True,Midstream,1.0,Midstream activities are clearly non-E&P.
Intersegment Eliminations & Other,True,Corporate/Other,1.0,Eliminations and other corporate adjustments are non-E&P.
OIL INTERESTS,False,Unknown,0.8,Oil interests likely relate to upstream production; ambiguous but defaults to false.
GOLD MINE,True,Mining/Other,1.0,Gold mining is unrelated to oil & gas E&P.
CONTRACT OIL DRILLING,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, not E&P."
DRILLING PARTNERSHIP,False,Unknown,0.75,Drilling partnership may be ambiguous but likely related to E&P; defaults to false.
GOLD MINE MANAGEMENT,True,Mining/Other,1.0,Gold mine management is unrelated to oil & gas E&P.
MINING SUPPLIES & EQUIPMENT,True,Mining/Other,1.0,"The segment clearly relates to mining supplies and equipment, which is non-E&P mining activity."
RESOURCE DEVELOPMENT,False,Unknown,0.7,The term is vague and could include E&P activities; no clear non-E&P indication.
OILFIELD CONSTRUCTION,True,Oilfield Services,0.95,"Construction related to oilfield is a service activity, not E&P itself."
On & Offshore Oil & Gas,False,Unknown,0.9,"The name indicates oil and gas operations onshore and offshore, typical E&P context."
OIL & GAS-ONSHORE-COAL EXPL,False,Unknown,0.8,"Contains E&P cues (exploration) mixed with coal, but exploration suggests E&P focus; ambiguous but defaults to false."
Coal & Gravel,True,Mining/Other,1.0,Coal and gravel are mining activities unrelated to oil and gas E&P.
Real Estate Development,True,Real Estate,1.0,"Clearly a real estate activity, not related to oil and gas E&P."
OIL& GAS EXPL-DEV-PDN-SALE,False,Unknown,1.0,"Explicitly mentions exploration, development, production, and sale, all E&P activities."
COAL AND GRAVEL DEV,True,Mining/Other,1.0,"Coal and gravel development is mining, not oil and gas E&P."
REAL ESTATE DEV,True,Real Estate,1.0,Real estate development is unrelated to oil and gas E&P.
ONSHORE & OFFSHORE OIL & GAS,False,Unknown,0.9,Generic oil and gas onshore and offshore operations likely E&P.
ON-OFFSHORE EXPLORATION-PRDN,False,Unknown,1.0,"Explicitly mentions exploration and production, clear E&P activity."
MARKETING-TRANSPORTATION-REF,True,Downstream,1.0,"Marketing, transportation, and refining are downstream activities, not E&P."
CHEMICAL PRODUCTS,True,Chemicals,1.0,Chemical products segment is non-E&P petrochemical or chemical manufacturing.
MARKETING-TRANSPORTATION,True,Downstream,1.0,"Marketing and transportation are downstream activities, not E&P."
AGRIBUSINESS,True,Mining/Other,1.0,Agribusiness is unrelated to oil and gas E&P.
TRADING-MARKETING-TRANS,True,Trading/Marketing,1.0,"Trading, marketing, and transportation are non-E&P commercial activities."
CORPORATE,True,Corporate/Other,1.0,"Corporate segment is non-operating, not E&P."
Oil & Gas On & Offshore,False,Unknown,0.9,Generic oil and gas onshore and offshore operations likely E&P.
Chemical,True,Chemicals,1.0,Chemical segment is non-E&P petrochemical or chemical manufacturing.
Corporate and Eliminations,True,Corporate/Other,1.0,"Corporate and eliminations are non-operating segments, not E&P."
Midstream Marketing & Other,True,Midstream,1.0,Midstream and marketing activities are non-E&P.
Corporate & Eliminations,True,Corporate/Other,1.0,"Corporate and eliminations are non-operating segments, not E&P."
Midstream and Marketing,True,Midstream,1.0,"Midstream and marketing are downstream/midstream activities, not E&P."
Marketing & Midstream,True,Midstream,1.0,Marketing and midstream are non-E&P activities.
OFFSHORE CONTRACT DRILLING,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, not E&P itself."
OILFIELD SALES & SERVICES,True,Oilfield Services,1.0,"Sales and services to oilfield are service activities, not E&P."
RENTAL OPERATIONS,True,Oilfield Services,0.9,"Rental operations likely relate to equipment rental, a service activity."
OFFICE FURNITURE,True,Corporate/Other,1.0,Office furniture is unrelated to E&P operations.
OIL & GAS ROYALTIES,False,Unknown,0.8,"Royalties relate to ownership interests in production, not direct E&P but ambiguous; default false."
OIL & GAS - ONSHORE&OFFSHORE,False,Unknown,0.9,Generic oil and gas onshore and offshore operations likely E&P.
WOMENS APPAREL,True,Corporate/Other,1.0,Womens apparel is unrelated to oil and gas E&P.
WATER HAULING,True,Oilfield Services,0.9,"Water hauling is a service activity supporting operations, not E&P."
OIL-GAS-MINERALS,False,Unknown,0.7,"Mixed oil, gas, and minerals is ambiguous; defaults to false."
MANAGEMENT & ADMIN SERVICES,True,Corporate/Other,1.0,"Management and admin services are corporate support, not E&P."
CONTRACT MINERAL DRILLING,True,Oilfield Services,0.95,"Contract drilling for minerals is a service activity, not E&P."
Onshore Oil & Gas,False,Unknown,0.9,Generic onshore oil and gas operations likely E&P.
OIL TANK SEALS,True,Oilfield Services,0.9,"Oil tank seals are a service or equipment product, not E&P."
SALE-JOINT VENTURE INTERESTS,False,Unknown,0.7,Sale of JV interests is a financial transaction related to E&P assets; ambiguous but defaults false.
ADMINISTRATN OF PUB PARTNERS,True,Corporate/Other,0.9,"Administration of public partnerships is corporate/administrative, not E&P."
OIL-GAS-REFINED PETROLEUM PD,True,Downstream,1.0,"Refined petroleum products indicate downstream refining and marketing, not E&P."
REFINING,True,Downstream,1.0,"Refining is a downstream activity, not E&P."
OTHER OPERATIONS,False,Unknown,0.6,Vague segment name with no clear indication; defaults to false.
OIL & GAS-ONSHORE & OFFSHORE,False,Unknown,0.9,Generic oil and gas onshore and offshore operations likely E&P.
COAL LAND OPERATIONS,True,Mining/Other,1.0,"Coal land operations relate to mining, not oil and gas E&P."
EQUIPMENT MANUFACTURING,True,Oilfield Services,0.9,"Manufacturing equipment is a service/supplier activity, not E&P."
INDUSTRIAL MINERALS,True,Mining/Other,1.0,Industrial minerals are mining activities unrelated to oil and gas E&P.
COAL & LAND,True,Mining/Other,1.0,"Coal and land activities relate to mining, not oil and gas E&P."
Coal Royalty & Land Management,True,Mining/Other,1.0,"Coal royalties and land management are mining-related, not E&P."
PVR Coal,True,Mining/Other,1.0,"Coal segment is mining, not oil and gas E&P."
PVR Midstream,True,Midstream,1.0,Midstream activities are non-E&P pipeline and logistics operations.
"Oil, NGLs & Natural Gas",False,Unknown,0.9,"Includes oil, NGLs, and natural gas, likely E&P focused."
MANUFACTURING & MARKETING,True,Downstream,0.9,"Manufacturing and marketing are downstream activities, not E&P."
METALS,True,Mining/Other,1.0,"Metals segment relates to mining, not oil and gas E&P."
POTASH,True,Mining/Other,1.0,Potash is a mining product unrelated to oil and gas E&P.
OTHER MINERALS,True,Mining/Other,1.0,Other minerals are mining activities unrelated to oil and gas E&P.
AGRICULTURAL MINERALS,True,Mining/Other,1.0,"Agricultural minerals are mining related, not oil and gas E&P."
MOTOR OIL & AUTOMOTIVE PDS,True,Downstream,1.0,Motor oil and automotive products are downstream/refining products.
FILTRATION PRODUCTS,True,Oilfield Services,0.9,"Filtration products are service/supplier related, not E&P."
FRANCHISE OPERATIONS,True,Downstream,0.9,"Franchise operations likely relate to retail or marketing, non-E&P."
MOTOR OIL & REFINED PRODUCTS,True,Downstream,1.0,"Refined products are downstream activities, not E&P."
PUBLIC PROGRAMS,True,Corporate/Other,0.9,"Public programs are corporate or social responsibility activities, not E&P."
INVESTMENT MANAGEMENT,True,Corporate/Other,1.0,"Investment management is a corporate financial activity, not E&P."
MINERAL PROPERTY SALES,True,Mining/Other,0.9,"Sales of mineral properties relate to mining, not oil and gas E&P."
HOTELS,True,Corporate/Other,1.0,Hotels are unrelated to oil and gas E&P.
LIQUOR STORE,True,Corporate/Other,1.0,Liquor store is unrelated to oil and gas E&P.
HOTEL & LIQUOR STORE,True,Corporate/Other,1.0,Hotels and liquor stores are unrelated to oil and gas E&P.
DRILLING AND PRODUCTION,False,Unknown,1.0,Drilling and production are core E&P activities.
MARKETING AND PIPELINE,True,Midstream,1.0,"Marketing and pipeline are midstream/downstream activities, not E&P."
Drilling and Development,False,Unknown,1.0,Drilling and development are core E&P activities.
Natural Gas Sales,True,Trading/Marketing,1.0,"Sales of natural gas is a marketing/trading activity, not E&P."
Well Operations,False,Unknown,0.95,Well operations are part of E&P production activities.
DRILLING AND DEVELOPMENT,False,Unknown,1.0,Drilling and development are core E&P activities.
NATURAL GAS SALES,True,Trading/Marketing,1.0,"Natural gas sales is a marketing/trading activity, not E&P."
WELL OPERATIONS,False,Unknown,0.95,Well operations are part of E&P production activities.
Unallocated Amounts,True,Corporate/Other,1.0,"Unallocated amounts are corporate accounting entries, not E&P."
Oil & Natural Gas Sales,False,Unknown,0.8,Sales of oil and natural gas is ambiguous but likely related to E&P; defaults false.
Natural Gas Marketing,True,Trading/Marketing,1.0,"Marketing of natural gas is a trading/marketing activity, not E&P."
Oil and Gas Well Drilling Operations,False,Unknown,1.0,Well drilling operations are core E&P activities.
Oil & Gas Sales,False,Unknown,0.8,Sales of oil and gas is ambiguous but likely related to E&P; defaults false.
Well Operations and Pipeline Income,True,Midstream,0.9,"Includes pipeline income which is midstream, and well operations is ambiguous but combined with pipeline income indicates non-E&P focus."
Natural Oil & Gas Sales,False,Unknown,0.8,"Sales of natural oil and gas likely relates to production sales, typical of E&P segment."
Natural Gas and Crude Oil Sales,False,Unknown,0.8,Sales of natural gas and crude oil generally indicate E&P production sales.
"Natural Gas, NGL and Crude Oil Sales",False,Unknown,0.8,"Sales of natural gas, NGL, and crude oil are typical E&P product sales."
Oil & Gas Exploration & Prod.,False,Unknown,1.0,"Explicitly states exploration and production, clearly E&P."
Gas Marketing,True,Trading/Marketing,0.95,"Marketing of gas is a downstream/trading activity, not E&P."
SALE OF DRILLING ARRANGEMNTS,True,Oilfield Services,0.9,"Sale of drilling arrangements relates to oilfield services, not E&P operations."
ADMINISTRATION-PARTNERSHIPS,True,Corporate/Other,0.9,Administration and partnerships is a corporate or non-operating function.
SALE OF INTERESTS-ARRANGMNTS,True,Corporate/Other,0.9,Sale of interests and arrangements is a corporate or non-operating activity.
PETRO ON & OFFSHORE-DOMESTIC,False,Unknown,0.7,"Vague but includes petro and on/offshore, likely E&P or ambiguous; default false."
PETRO ON & OFFSHORE FOREIGN,False,Unknown,0.7,"Similar to above, vague with petro and offshore, default to false."
PETROLEUM EXPL ON & OFFSHORE,False,Unknown,1.0,"Explicitly exploration on and offshore, clearly E&P."
GAS & GAS LIQUIDS,False,Unknown,0.7,"Vague but likely related to production or sales, default false."
REFINING MARKETING-TRANSPORT,True,Downstream,1.0,"Refining, marketing, and transportation are downstream activities."
GAS GATHERING-PROCESSING-MKT,True,Midstream,1.0,"Gas gathering, processing, and marketing are midstream activities."
Gas Gathering,True,Midstream,1.0,"Gas gathering is a midstream activity, not E&P."
"Refining, Marketing, and Transportation",True,Downstream,1.0,All activities are downstream operations.
E&P - United States,False,Unknown,1.0,Explicitly E&P segment.
E&P - International,False,Unknown,1.0,Explicitly E&P segment.
R&M - United States,True,Downstream,1.0,"R&M stands for refining and marketing, downstream activities."
R&M - International,True,Downstream,1.0,Refining and marketing internationally is downstream.
Emerging Businesses,False,Unknown,0.6,"Vague segment name, default to false."
Lukoil Investment,False,Unknown,0.6,Investment segment is vague and could include E&P; default false.
Alaska,False,Unknown,0.7,"Geographic name only, default false."
Lower 48 & Latin America,False,Unknown,0.7,"Geographic region, default false."
Europe,False,Unknown,0.7,"Geographic region, default false."
Asia Pacific & Middle East,False,Unknown,0.7,"Geographic region, default false."
Other International,False,Unknown,0.7,"Vague geographic label, default false."
Lower 48,False,Unknown,0.7,"Geographic region, default false."
Europe and North Africa,False,Unknown,0.7,"Geographic region, default false."
"Europe, Middle East & NA",False,Unknown,0.7,"Geographic region, default false."
Asia Pacific,False,Unknown,0.7,"Geographic region, default false."
ONSHORE-OFFSHORE OIL & GAS,False,Unknown,0.8,"Explicitly oil & gas onshore and offshore, likely E&P or ambiguous; default false."
HEAVY CONSTRUCTION EQUIPMENT,True,Oilfield Services,0.9,"Heavy construction equipment is oilfield services or support, not E&P."
MARKETING,True,Trading/Marketing,0.95,Marketing alone is a downstream/trading activity.
STORAGE & TERMINALLING,True,Midstream,1.0,Storage and terminaling are midstream activities.
MARKETING-TRANSPORATION-STOR,True,Downstream,1.0,"Marketing, transportation, and storage are downstream/midstream activities."
MARKETING-TRANSPORTATN-STORG,True,Downstream,1.0,"Marketing, transportation, and storage are downstream/midstream activities."
Upstream,False,Unknown,1.0,"Explicitly upstream, clearly E&P."
OIL GATHERING-MARKET-TRANS,True,Midstream,0.95,"Oil gathering, marketing, and transportation are midstream/downstream activities."
OIL EXPLOR-DEVELOP-PRODCTN,False,Unknown,1.0,"Explicitly exploration, development, and production, clearly E&P."
Corp,True,Corporate/Other,1.0,"Corporate segment is non-operating, non-E&P."
OFFSHORE & ONSHORE OIL & GAS,False,Unknown,0.8,"Explicitly oil & gas onshore and offshore, likely E&P or ambiguous; default false."
Pipelines,True,Midstream,1.0,"Pipelines are midstream infrastructure, not E&P."
Gains (Losses) and Other,True,Corporate/Other,0.9,Gains and losses and other is a corporate or non-operating segment.
URANIUM EXPLORATION & DEV,True,Mining/Other,1.0,"Uranium exploration and development is mining, not oil & gas E&P."
COAL BROKERAGE,True,Mining/Other,1.0,"Coal brokerage is mining related, not oil & gas E&P."
GAS GATH-PROC-MKTG OPS,True,Midstream,1.0,"Gas gathering, processing, and marketing operations are midstream activities."
Oilfield Services,True,Oilfield Services,1.0,"Explicitly oilfield services, non-E&P."
Marketing and Trading,True,Trading/Marketing,1.0,Marketing and trading are downstream/trading activities.
MARKETING & TRADING,True,Trading/Marketing,1.0,Marketing and trading are downstream/trading activities.
TELECOMMUNICATIONS,True,Corporate/Other,1.0,"Telecommunications is unrelated to E&P, non-operating segment."
WELL SERVICING & DRILLING,True,Oilfield Services,1.0,"Well servicing and drilling is oilfield services, not E&P."
DRILLING EQUIPMENT,True,Oilfield Services,1.0,"Drilling equipment is oilfield services/supplier side, not E&P."
HEAVY OIL,False,Unknown,0.9,"Heavy oil is a type of crude, likely E&P related."
CONVENTIONAL OIL & GAS,False,Unknown,0.9,Conventional oil and gas is E&P related.
NORTH SEA OIL & GAS,False,Unknown,0.9,North Sea oil and gas is a geographic E&P segment.
OTHER INTERNATIONAL OIL&GAS,False,Unknown,0.8,Other international oil and gas is likely E&P or ambiguous; default false.
Conventional Oil & Gas-North America,False,Unknown,0.9,Conventional oil and gas in North America is E&P related.
Heavy Oil-North America,False,Unknown,0.9,Heavy oil in North America is E&P related.
North Sea Oil & Gas,False,Unknown,0.9,North Sea oil and gas is a geographic E&P segment.
Other International Oil & Gas,False,Unknown,0.8,Other international oil and gas is likely E&P or ambiguous; default false.
MINERAL EXPLORATION-SENSING,True,Mining/Other,1.0,"Mineral exploration (non-oil & gas) is mining related, not E&P."
OIL & GAS CONTRACT DRILLING,True,Oilfield Services,1.0,"Contract drilling is oilfield services, not E&P."
OIL & GAS ON-OFFSHORE,False,Unknown,0.8,Oil & gas onshore and offshore is likely E&P or ambiguous; default false.
Oil & Gas Operations,False,Unknown,0.8,Operations is vague but combined with oil & gas likely E&P; default false.
CONTRACT DRILLING - ONSHORE,True,Oilfield Services,1.0,"Contract drilling is oilfield services, not E&P."
OIL & GAS EXPL - ONSHORE,False,Unknown,1.0,"Explicitly exploration onshore, clearly E&P."
DRILLING ARRANGEMENTS,True,Oilfield Services,0.95,"Drilling arrangements relate to oilfield services, not E&P."
GAS PROCESSING & TRANSMISSN,True,Midstream,1.0,Gas processing and transmission are midstream activities.
ON & OFF SHORE OIL & GAS,False,Unknown,0.8,Oil & gas onshore and offshore is likely E&P or ambiguous; default false.
HARD MINERALS,True,Mining/Other,1.0,"Hard minerals are mining related, not oil & gas E&P."
BLENDING & PROCESSING,True,Downstream,0.9,Blending and processing are downstream activities.
OIL & GAS PROPERTY SALES,True,Corporate/Other,0.9,"Property sales is a non-operating corporate activity, not E&P."
AGRICULTURE-LIVESTOCK SALES,True,Agriculture,1.0,Agriculture and livestock sales are unrelated to E&P.
LIVESTOCK,True,Agriculture,1.0,Livestock is unrelated to E&P.
AGRICULTURE AND LAND LEASING,True,Agriculture,1.0,Agriculture and land leasing is unrelated to E&P.
OIL & GAS ROYALTIES-PIPELINE,True,Midstream,0.9,Royalties and pipeline income relate to midstream and non-E&P activities.
Agriculture and Land Leases,True,Agriculture,1.0,Agriculture and land leases are unrelated to E&P.
Agriculture,True,Agriculture,1.0,Agriculture is unrelated to E&P.
OIL PRODUCTS,True,Downstream,1.0,"The term 'Oil Products' clearly refers to refined products, a downstream activity."
Oil Products,True,Downstream,1.0,"Same as above, 'Oil Products' indicates downstream refining or marketing."
Chemical Products,True,Chemicals,1.0,"'Chemical Products' clearly denotes chemical or petrochemical activities, not E&P."
Downstream Gas,True,Downstream,1.0,"'Downstream Gas' explicitly indicates downstream gas activities, not E&P."
All Other,False,Unknown,0.9,'All Other' is vague and does not clearly exclude E&P activities.
Nonallocated Items,False,Unknown,0.9,"'Nonallocated Items' is a vague corporate or accounting term, not clearly non-E&P."
DOWNSTREAM GAS,True,Downstream,1.0,"Same as 'Downstream Gas', clearly downstream activity."
UNALLOCATED ITEMS,False,Unknown,0.9,"Vague corporate or accounting term, no clear non-E&P indication."
Real Estate Investment Trust - Self-Storage Facilities,True,Real Estate,1.0,Clearly a real estate activity unrelated to E&P.
Oil and Gas Production,False,Unknown,1.0,Explicitly E&P activity (production).
Self-Storage Facilities,True,Real Estate,1.0,Clearly real estate unrelated to E&P.
Storage,False,Unknown,0.7,"Vague term; could be midstream or other, not clearly non-E&P."
NURSING HOMES,True,Mining/Other,1.0,"Clearly unrelated to E&P, a healthcare activity."
PHOTOGRAPHIC PROCESSING,True,Mining/Other,1.0,"Clearly unrelated to E&P, a non-energy activity."
OIL & GAS LTD PARTNERSHIP,False,Unknown,0.8,Vague but contains E&P cues; likely E&P or related.
